,0,1
35,左腕に緑色の袖をつけて撮影し、腕の切り口が露出しているショット全てにデジタル映像を挿入するという高い技術を要する方法で仕上げた,つく
36,後半、再びクゥにとんでもない試練が降りかかるのだが、その試練を必死に乗り越えようとする姿に勇気づけられることがあるだろう,勇気づく
37,後半、再びクゥにとんでもない試練が降りかかるのだが、その試練を必死に乗り越えようとする姿に勇気づけられることがあるだろう,らる
38,そこに足を踏み入れてしまった未來の運命は——,踏み入る
39,私の物語にふれてくれた人が、何かを感じてくれて、その人たちを励ますことができれば、とても嬉しいです」と語っており、奇跡を起こしたヒントがこの番組からも垣間見えるかもしれない,ふる
40,・応募に関する注意事項に同意いただける方,いただく
41,また、自身との共通点については「演じる前はどちらにも部分的に共感できる点があるように思えたのですが、演じてみると、ふたりとも私とは別人でしたね,できる
42,8000万円相当のネックレスをはじめとして総額1億円のアクセサリを身に着けて登場したローラ,着く
43,」・一番早く並んだ車いすの女性「2時間くらいかけて南カリフォルニアから来た」・ロバートのファンの女性「彼と一緒に写真を撮れたら私の人生が完結する」このコメントからもファンの熱狂ぶりがよくわかる,撮る
44,その間も両種族の戦いは続き、更には、その力を手にいれようと、人間もが戦いに参戦していた,いる
45,マーク：もともとジョージ・マイケルと言う名前は、脚本を書いた時点でとりあえず入れておくという感じだったのですが、ミュージシャンを選ぶ際には、“イーライが10代であったであろう1980年代に良く売れていて、今でも十分に名前が認知されているような人を”と考えていました,売る
46,・【写真一覧】沢尻エリカ、水原希子ら豪華キャストが大集合『へルタースケルター』は、全身整形で作りものの美を身につけた主人公りりこの生き様と周囲の人々を巡る、欲望入り乱れる芸能界を舞台にした物語,つく
47,人間によるボクシングの時代が終わりを迎え、ロボット格闘技の世界を舞台に、夢に破れた元ボクサーの再起と、父子のかけがえのない絆を描いた感動大作『リアル・スティール』,破る
48,今週入ってきたニュースだが、今回はジャンル別にわけて紹介しよう,わく
49,女の子たちが金のために時間を切り売りする「出会いカフェ」に踏み入れて堕ちていく,踏み入る
50,家庭も仕事もうまくいっていることを疑わなかった父親につきつけられた、突然のがん宣告,つく
51,・応募に関する注意事項に同意いただける方,いただく
52,少しでも、フーバーの容貌に近づけるため、目の色や髪の色はもちろんのこと、年齢に応じて白髪のヘアピースを加え、富士額の毛を抜き、二重あごに見えるように首筋には特殊メイクを施した,近づく
53,『アバター』撮影スタッフの協力により、圧倒的な破壊力をもつ巨大なトランスフォーマーたちのみならず、3Dカメラをヘルメットに取り付けたスカイダイバーによって撮影された、ビル群の谷間を弾丸のごとく高速飛行する兵士のシーンなど、圧倒的な大迫力の映像が次々と観る者に襲い掛かります,取り付く
54,劇場公開時においても、IMAXなどの設備を完備したシアターを除けば、光量が足りないために画面が薄暗く、鮮明さに難点を感じたのは否めませんでしたが、過去2作品で実証済みのように、2Dで観てもその映像のクオリティは存分に堪能できるハズです,できる
55,世界で最も美しい女性100人（「MAXIM」誌）と、世界で最もセクシーな女性100人（「FHM」誌）のいずれも第1位に選出された彼女の肉体美も存分に堪能でき、ワイシャツ一枚で主人公サムに馬乗りになるベッドシーンや、2千5百万円もするスーパーカーのメルセデス・ベンツ「SLSAMG」から颯爽と降り立つ姿など、釘付けとなります,できる
56,"また、「ALLFORONE,ONEFORALL」に絡め「闘魂三銃士にとっての“ALL”とは",絡む
57,日本に来れたことだけで嬉しいです,来る
58,サンプルチェックも撮影の時期と重なってしまったのですが、撮影現場でお時間を作って頂き、細部まで確認、修正を繰り返し、イメージに近づけて頂きました,近づく
59,台本を貰って読んでからも役に共感できるところもあり、こういうことを言われたら男の人ってうれしいんだろうなって思いながら演じました,できる
60,」古川小夏（アップアップガールズ（仮））「チアの映画だと聞いた時は私たちにできるのかと不安でした,できる
61,この作品は、そんなことを気付かせてくれるような、あたたかい気持ちになれる作品です,なる
62,西田や美山は思わず目に涙を浮かべる場面もあった,浮かぶ
63,大学生活、思いっきり楽しんで、いろんな良い経験を積んで、今までとはまた違った成長した仁美ちゃんに会えるのを楽しみにしています,会う
64,お父ちゃんに言えないこと、相談できないこと、いっぱい、いっぱいあったと思います,言う
65,・応募に関する注意事項に同意いただける方,いただく
66,"■ストーリー神々の力が弱まったことで、""冥界""に封じ込められた巨神(タイタン)・クロノスの覚醒が始まり、地上にも異変が起こり始めた",封じ込む
67,"■ストーリー神々の力が弱まったことで、""冥界""に封じ込められた巨神(タイタン)・クロノスの覚醒が始まり、地上にも異変が起こり始めた",らる
68,しかし、自由のない時代に様々な苦しみを抱えて生きるメイドたちこそ、声にできない自分たちの叫びを聞いてくれる誰かの“ヘルプ”を必要としていた,できる
69,それを基に仮説を立てます,立つ
70,あなたは、価値ある目的に忠実に取り組めているだろうか,取り組む
71,…期待しちゃダメだぁ…」めくるめくモテキと４人の美女に翻弄されながら、幸世は本当の恋愛（含むセックス）にたどりつけるのか,たどりつく
72,年老いたサッチャーがある決断を下すまでのたった2日間を軸にしつつ、栄光と失墜、鉄と涙の物語に心を震わせることが期待される,震わす
73,私の同世代でも親に感謝が言えなかったり、反抗しちゃう方も多いので、家族の大切さを伝えたいです,言う
74,楽園で出会う個性溢れる面々とのおかしな交流や、タイトルにもある“作戦”を遂行するべく奮闘する登場人物たちを描いたあやしいサバイバル・ムービーで、現代の日本でそれぞれに悩みを抱えた人間たちが力を合わせて頑張る姿にいつの間にか勇気づけられ、笑い、癒され、どこかホッコリと温かくなれる映画が誕生した,勇気づく
75,楽園で出会う個性溢れる面々とのおかしな交流や、タイトルにもある“作戦”を遂行するべく奮闘する登場人物たちを描いたあやしいサバイバル・ムービーで、現代の日本でそれぞれに悩みを抱えた人間たちが力を合わせて頑張る姿にいつの間にか勇気づけられ、笑い、癒され、どこかホッコリと温かくなれる映画が誕生した,らる
76,神によって天地万物が創造されたとする創造論に異を唱えながらも、科学と宗教は現代もなお共存を果たしている,唱う
77,人類最大の謎“人類の起源”に正面から向き合ったこの究極の問題作の公開前に、これらの映像で謎の答えに思いを巡らせ、更なる発見が得られることだろう,巡らす
78,良いストーリーを見つけ、それを良い形で伝えるためにいかに心を砕けるか、それが私にとって一番のプレッシャーですね,砕く
79,・応募に関する注意事項に同意いただける方,いただく
80,ラッセル・クロウ演じる主人公が、無実の罪で逮捕された愛する妻を助けるために脱獄計画を立てるストーリーです,立つ
81,その監督の映画で、しかも感動的なストーリーと息を呑むような美しい映像で綴るこの素晴らしい映画に出演できて、本当に嬉しく思っている」と喜びを語った,できる
82,中でも、クリストファー・ノーラン監督、アン・ハサウェイ、ジョゼフ・ゴードン＝レヴィットの出席が決定しているジャパンプレミア（7月25日開催）に参加できるチャンスは見逃せない,できる
83,子供たちも狼の姿に変身できる“おおかみこども”で、楽しくも大変な子育てが始まります,できる
84,都会にある大学の校舎や大通りの看板、バイト先の風景、田舎の山、川、畑など、細部がリアルに描かれているからこそ、“おおかみおとこ”というファンタジーが、現実のものとして想像でき、その苦悩に共感できるのかも知れません,できる
85,これが面白い映画の一番良いところは、何かを見つけて、そこをどういう風にお客さんにアピールできるか,できる
86,果たして、本物の英雄になれるのだろうか,なる
87,意見が真っ二つに割れる映画『カーズ2』自分は直観派なので、この作品に賛成,割る
88,」という仕掛けに挑戦できる,できる
89,スピルバーグ作品に出演できて喜ばない人はいないと思います,できる
90,ダコタ・ゴヨ：東京に来て、いろんな場所や、素敵な人たちに会えて素晴らしかったです,会う
91,東京ディズニーランドやディズニーシーに行けたし、ランぺイジ・ジャクソンに会えました,行く
92,東京ディズニーランドやディズニーシーに行けたし、ランぺイジ・ジャクソンに会えました,会う
93,だけど、それでも素晴らしい作品にしたかったら、自分にできることはすべてやって素晴らしい番組を作っていくものなんだよね,できる
94,彼はモジーを、まるで彼もロック・スターであるかのように扱ってくれるし、そのおかげでモジーも最高の気分になれる,なる
95,つまり、開始した時には、絶対に視聴者が獲得できることが分かっている,できる
96,ユージに「俺がいるからキャプテン・アメリカになれたんだろ」と詰め寄る,なる
97,・コスプレ写真「ナース」「ビールガール」「江戸時代風猫娘」本作は小池徹平、生瀬勝久のダブル主演の映画で、篠田は、昼は新城（小池）、中西（生瀬）らが勤務するビール会社の受付嬢、そして夜は“転職バー”で秘密のアルバイトをするOL・マオという役柄で映画に華を添えている,添う
98,周囲に溶け込めない高校生たちが、自分たちの居場所を探そうと悩み、葛藤する姿を描いたドラマということだ,溶く
99,“決して開けてはならない”特典グッズ付前売り券、“絶対に開けてはいけない”謎のコインロッカーなど謎に包まれたプロモーション施策を実施中の本作が、新たに“衝撃度120%”のビッグ・プロモーション『プロメテウス』ミステリー・ステーションを行った,開く
100,母が広島出身なので、広島焼きは家でも食べる機会が多かったんですけど、広島にうどんとそばを選べるお店があって、「広島焼きに、うどんを入れるんだ,選ぶ
101,神によって天地万物が創造されたとする創造論に異を唱えながらも、科学と宗教は今日まで共存を果たしてきました,唱う
102,一方、ハエックは「こんなプロジェクトに参加できてとても感謝しているわ,できる
103,映画をたくさん観たいけど、1800円という料金が高いのでなかなか劇場に足を運べない,運ぶ
104,果たして、真の自由をその手に掴めるのだろうか,掴む
105,マリエ：耳にタコができるくらいみんなに聞かれるのですが、本当にゲイが多くて,できる
106,6月末には“決して開けてはならない”特典グッズ付前売り券が発売され話題を呼んだが、本日8月1日からは、名古屋市中区の金山総合駅コンコースにて、8月31日までの期間限定で、映画『プロメテウス』のテーマを立体的に表現する“絶対に開けてはいけない”謎のコインロッカーが登場した,開く
107,『僕みたいな子でもヒーローになれる』と子供に勇気を与えてくれます,なる
108,以前こちらの批評で取り上げた『ムカデ人間』は、“男女3人の口と肛門を繋げる”というえげつない行為が行われる映画ながら、実は万人に楽しめる爽やかな映画だった,楽しむ
109,ハーベイはかつて子供番組にも出演していた経歴を持つようだが、その事実がかなり問題に思えてしまうほど、強烈な風貌である,思う
110,この文章を読んだあなたに言えることは一つだけ,言う
111,※遅刻された場合は、イベントに参加できない可能性がございます,できる
112,・応募に関する注意事項に同意いただける方,いただく
113,私は、毎日自分自身エリザベスのような人間になれるようにと努力しているし、彼女は本当に素晴らしい女性だし、本当に頭が良いし、機知に富んでいるし、情熱があるし、仕事を全力でやっていくタイプでありながらも、自分にとっては、家族や夫やそれから犬のサッチモですらが、優先順位の第一であるということを決して忘れていない女性なの,なる
114,それはエリザベスに限らず、すべてのキャラクターに言えることだと思うけど、例えばキャラクターの過去がより明らかになっていって視聴者がその人物が一体どんな人間なのかがより分かっていっていると思うの,言う
115,だから、私の成功は本当に彼らのおかげだし、それにそのおかげで私が、良い母親であり、仕事している時も子供と一緒に過ごせて、さらに、仕事に集中力を持って打ち込める環境を作り安くしてくれているから,過ごす
116,そういう風に実際スタジオの外で撮影できる時は、すごく楽しいの,できる
117,ティファニー・ティーセン：彼が仕事を持ち込めるのは、ふたりが信頼し合っているからこそで、ふたりともが家に仕事を持ち込めて、お互いの仕事について話し合える関係性というのは、私はむしろ素晴らしいことだと思うの,持ち込む
118,半分ニューヨークに住めて、半分LAに住めるからね,住む
119,半分ニューヨークに住めて、半分LAに住めるからね,住む
120,そんなガッツに目をつけた傭兵集団“鷹の団“のグリフィスは、決闘でガッツを制し、鷹の団に引き入れる,つく
121,ATOMの前に立ちはだかる最強の敵は、身長2.6mの超巨大ボディに冷酷な目を光らせる“無敗の王者”ゼウスだ,光らす
122,・『G.I.ジョー』が3D化のために公開延期が決定・イ・ビョンホンら『G.I.ジョー』キャストに会えるチャンス,会う
123,それが私たちにできることだと思いました,できる
124,たとえ自分とは無関係だったとしても同郷の有名人に親近感を覚えるように、スクリーンの中に映る自分の故郷を目にした時、人はその土地だけでなく、そこに関わりをもった自分自身をも誇りに思えるのではないでしょうか,思う
125,・応募に関する注意事項に同意いただける方,いただく
126,ポイント3：並ばずに楽しめる絶叫アトラクション前作を上回る洗練された3D映像で、アトラクションのように映画の世界を楽しむことが出来ます,楽しむ
127,——ラッセル・クロウ演じる主人公に共感できる部分はありましたか,できる
128,鼠先輩：すべてに共感できますね,できる
129,・応募に関する注意事項に同意いただける方,いただく
130,その敵に立ち向かえるのは、自分が誰かさえも分からない記憶を失った1人のカウボーイだった,立ち向かう
131,フラガールたちのダンスや飛行船の登場などがそこに華を添えた,添う
132,——元カレへの思いを引きずりながら、魅力的な2人の男性に惹かれていくローレンですが、彼女の気持ちに共感できるところはありますか,できる
133,なかなか“言うは易し”で、それは出来ないかもしれませんが、心優しい善人であれば、いずれはいい人に巡り会えると思っています,巡り会う
134,しかし、自由のない時代に様々な苦しみを抱えて生きるメイドたちこそ、声にできない自分たちの叫びを聞いてくれる誰かの“ヘルプ”を必要としていた,できる
135,しかし、自由のない時代に様々な苦しみを抱えて生きるメイドたちこそ、声にできない自分たちの叫びを聞いてくれる誰かの“ヘルプ”を必要としていた,できる
136,きっと今までにないエンターテイメントをご披露できるのではないかと思いますので、ご期待ください,できる
137,●アリと恋文文香（浜辺美波）が書いたラブレターを相手に渡すと、両想いになれるという伝説を聞いた意外な依頼者が現れる,なる
138,ユニバーサル映画100周年記念作品の『バトルシップ』、大ヒットアクション大作の続編『タイタンの逆襲』、男女共に楽しめるデートムービー『Black＆White／ブラック＆ホワイト』など強力なラインナップが公開中,楽しむ
139,・応募に関する注意事項に同意いただける方,いただく
140,主役はウルトラマンたちなのでその一員になれて本当に楽しかったです,なる
141,（笑）5歳の七夕で短冊に「ウルトラマンタロウになりたい」と書いて15年後に叶い、今回もまたコスモスに戻れて、しかもムサシは結婚して子どもまでいてビックリ,戻る
142,・キャラクタービジュアル一覧MOVIEENTERでは、来日するジョニデとバートン監督に会える、ジャパンプレミアのレッドカーペットに招待するプレゼントを掲載しているが、もう1つ、彼らに会える方法がある,会う
143,・キャラクタービジュアル一覧MOVIEENTERでは、来日するジョニデとバートン監督に会える、ジャパンプレミアのレッドカーペットに招待するプレゼントを掲載しているが、もう1つ、彼らに会える方法がある,会う
144,野村萬斎というどこにもいない、独自で、とっても魅力的な演技をする俳優を世界中の人に発見して欲しいと思っていたので、海外の映画祭に参加できる事はとても嬉しいです,できる
145,胃がんを患い、満身創痍の彼に話を聞けるのは、今が最後のチャンスかもしれないと思ったという,聞く
146,「今日は初日舞台挨拶に参加できず、非常に残念です,できる
147,キャストのみなさんに出会えたことが宝物です,出会う
148,・応募に関する注意事項に同意いただける方,いただく
149,これだけのスターが揃うと撮影も苦労したかと思うが、監督は「一番苦労したのは、キャスト同士が打ち解けすぎたせいで、カットがかかっても延々と喋り続けて次のシーンに移れなかったこと,移る
150,彼は、その何者にも負けない“強い心”が認められ、自ら政府の実験“スーパーソルジャー計画”に志願し超人的な身体能力を身に着ける,着く
151,常人よりもひ弱だった人がスーパーヒーローに変身するという設定は、誰もがヒーローになれるという希望を皆に与えてくれるのではないだろうか,なる
152,国のために自らの志願でスーパーヒーローに変身するも、政府は彼を戦場に立たせずに、コスチュームを身につけさせて「キャプテン・アメリカ」として国債を集めるための広告塔として扱った,つく
153,絶対絶命に陥れる宿敵たちスパイダーマン：グリーンゴブリン,陥る
154,原作では、6つの言語と2つの失われた言語を使い、瞬間記憶能力も身につけた、知性と強靭な肉体を持つ最強のキャラクターとして描かれる,つく
155,「俺のスターアルバムinspiredby荒川アンダーザブリッジTHEMOVIE」収録曲01.涙のスターダスト・トレイン(SweetMix)／ザ50回転ズ02.STARs／木村カエラ03.惑星／ASIANKUNG-FUGENERATION04.土星にやさしく／ザ・クロマニヨンズ05.一等星になれなかった君へ／チャットモンチー06.STAR／フジファブリック07.星のブルース／吉井和哉08.星に願いを／9mmParabellumBullet09.SHOOTINGSTAR／BEATCRUSADERS10.PLAYTHESTARGUITAR／ストレイテナー11.流星オールナイト(albumedit)／キャプテンストライダム12.星のラブレター／THEBOOM13.スターな男／UNICORN2012年2月1日発売／2500円（税込）／AICL2338「荒川アンダーザブリッジ」ストーリー大企業の御曹司・市ノ宮行（林遣都）は、最も恐れている父親・積（上川隆也）から荒川地区再開発の妨げとなる不法占拠者の一斉退去を命じられる,なる
156,」と本作の構成の良さを絶賛するとともに、「家族を愛し、明るい家庭を作って、議員になれたという女の強さ・優しさを見ていただきたいです,なる
157,映画の感動のラストに添えるにふさわしい主題歌になることは、間違いないだろう,添う
158,一体僕に何が言えると思う,言う
159,」という声が会場に鳴り響き、鋭い牙と黒いマントを身につけ、ヴァンパイアに扮した春日と、なりきりヴァンパイア春日軍団が登場した,つく
160,阿部さんは、すごく陽さんになりきっていたので、周りの私たちもそれに近付けたらな、と思っていました,近付く
161,司会より、本作の主人公、ヒロインに抜擢された心境を聞かれると、テイラーは「自分がディズニーファミリーの一員になれるとは夢にも思いませんでした,なる
162,史子は、引越し先の環境に馴染めず、自分のことで精一杯で家族の変化になかなか気付くことができません,馴染む
163,本作は、無実の罪で逮捕された妻を助けるために脱獄計画を立てるストーリー,立つ
164,・応募に関する注意事項に同意いただける方,いただく
165,同試写会は、仕事や子育てで忙しくなかなか映画に行けないという人のために、「ほぼ日」が用意した夜10時からのインターネット試写会,行く
166,通常、インターネット試写会では人数が限定されるが、「友達と一緒に楽しめるように」をコンセプトに、2000人の「ほぼ日」読者だけでなく、離れた場所にいる一緒に映画を見たい親しい友人（家族）も参加可能となる,楽しむ
167,震災直後は自粛ムードが漂い、被災地訪問に対して内心は不安だったメンバー達でしたが、ミニライブで一緒になって歌詞を口ずさむ子供たちの笑顔や、握手会で掛けられる温かい言葉が、応援しにきたはずのメンバーにも逆に勇気づける結果となり、後のインタビューで大島優子は「こんなにも歌で人を笑顔にできると初めて感じた」と語っています,勇気づく
168,震災直後は自粛ムードが漂い、被災地訪問に対して内心は不安だったメンバー達でしたが、ミニライブで一緒になって歌詞を口ずさむ子供たちの笑顔や、握手会で掛けられる温かい言葉が、応援しにきたはずのメンバーにも逆に勇気づける結果となり、後のインタビューで大島優子は「こんなにも歌で人を笑顔にできると初めて感じた」と語っています,できる
169,「しゃべる度に魂が抜けていきます,抜く
170,桐谷：撮影が終わると、自然と素の自分に戻れるので、意識してオンとオフを使い分けている感じは無いです,戻る
171,桐谷：私自身、この映画に出会えたことが本当に楽しくて、驚くほどはやく撮影が終わってしまいました,出会う
172,みんなに出会えたこと、みんなと一緒に過ごせた時間に「ありがとう」としか言えません,出会う
173,みんなに出会えたこと、みんなと一緒に過ごせた時間に「ありがとう」としか言えません,過ごす
174,・『ダーク・シャドウ』で来日するジョニー・デップに会える,会う
175,女性の方は、自分自身に執着するというところに共感できると思うので、改めて、女性であることを乱用していただけたらと思います,できる
176,果たして彼らは本作を機に再び第一線に返り咲けるのか,返り咲く
177,監督は、この映画のために素晴らしいキャストを揃えたね,揃う
178,ヒュー・ジャックマン演じる主人公のマックスと同じく息子を持つ父親であり、本作に涙したという宮迫は、映画の感想について「色んな泣ける映画がありますが、悲しい涙じゃなくて、一歩前に進めて得する涙を流せる映画でした,進む
179,そういう文系で、オリンピックに乗れない人は、もうギンギンにエアコンで冷やして、全くオリンピックを観ないで自分の“キャッスル”に入って、自分の城で永遠に観続けるのもオススメできますね,乗る
180,オリジナルということは、いかに早く観客にこの作品の内容を理解してもらって、物語の展開に持ち込めるかが重要なので、そういった意味ではクリエイターとして大変なわけです,持ち込む
181,監督：本当に日本が好きだから、今回日本に行けなくて申し訳なく思っています,行く
182,鈴木福くんの好感度に少しでも便乗できたら幸いです,できる
183,『猿の惑星：創世記（ジェネシス）』が公開2週目を迎えて、2位以下に大差をつけて興行収入ランキング2週連続第1位に輝いた,つく
184,あなたも“恐怖のグレイヴ顔”になれる,なる
185,これから先も、あの時に感じたことをずっと忘れずにいれる人間になりたいです,いる
186,アイドルとして、ひとりの人間として、今、自分たちにできること…,できる
187,しかし、ヴィジョンが終了すると、イーライは、会社のテーブルの下に身を潜めていて、会議に参加している同僚から冷ややかな目で見られています,潜む
188,かつては『家族ゲーム』などで松田優作にも行ったであろう名監督の演出の様子は、映画ファンならば目に焼き付けておくべき映像だ,焼き付く
189,黒い下着を身に着けてポールダンス、男たちをあおりながら大胆開脚である,着く
190,更にスカーレット・ヨハンソンとの夢の初競演を果し、“日米最強女優”がワールド・プレミアに華を添えた,添う
191,凄く雰囲気が良くって、みんながフレンドリーだったので全然緊張せずに楽しめました,楽しむ
192,憧れのアンドリュー・スタントン監督に会えた事も夢のようです,会う
193,憧れのアンドリュー・スタントン監督に会えた事も夢のようでしたので、全米・日本が公開してからじゃないとなかなか実感が沸かないと思います,会う
194,第1部初回盤A・初回盤B・通常盤の3タイトルのCDそれぞれに「第1部」に参加できる抽選券がもれなく封入されており、携帯電話からの簡単な登録で抽選に参加可能,できる
195,初回盤A・初回盤B・通常盤の3タイトルをセットにしたこの商品にデビュー・スペシャルイベント「第2部」に参加できる入場券を封入,できる
196,意見が真っ二つに割れる映画『カーズ2』・映画『ベルセルク』ポスター＆予告編が解禁、ED曲はAIが担当・“FBI行動分析課”に学べ,割る
197,上半期を通じてグロ系への耐性やカーアクションに自分の好みを感じつつ、2Dと3D共に映像の迫力を堪能できる作品が強く印象に残った下半期でした,できる
198,かっこいいロボットが登場するアクション映画としての醍醐味もさることながら、父親と息子…そこにベイリーを絡めた人間関係が、感情豊かに描かれているハートのこもった感動的なお話しで、とても素晴らしい映画だよ,絡む
199,すでにデザインされ、シェアされているものもあるので、それらに星をつけて評価することも可能だ,つく
200,■現象5：宣伝スタッフCある週末、お風呂に入る前に台所の電気をつけようとしても、つかない,つく
201,トイレを出る時につけ直すと、その個室の電気もきちんと点いた,つく
202,技術のすごさや二つの展望台からの絶景など、誰もが知りたかったスカイツリーの“ひみつ”を迫力の大スクリーンで存分に楽しめる作品となっている,楽しむ
203,現地になかなかなじめないマリオだったが、二人は親交を温める,なじむ
204,一方、タエは元の時代に帰れる方法を見つけ、希望を見出していた,帰る
205,人々を恐怖に震え上がらせる悪の化身から、愛情すら抱いてしまう悲劇の美声年まで、様々なイメージで描かれているが、果たしてヴァンパイアが現代に存在したのなら、“生と死を超えた者”である彼らに対して、あなたは本気で十字架やニンニクを手に対抗できると思うだろうか,できる
206,あなたも“恐怖のグレイヴ顔”になれる,なる
207,このアプリで写真を撮ると、映画に出てくる少女の恐怖顔に誰でもなれるというものだ,なる
208,目と口にポイントをセットして変換すると恐怖顔になれる,なる
209,果たして、本物の木を手に入れ、世界を緑いっぱいに戻せるのだろうか,戻す
210,20世紀の技術でさえ、これほど大変なのに、果たして紀元前に20年間で建設できたのであろうか,できる
211,目下、話題沸騰の『THEEVENT／イベント』は、そんな海外ドラマの王道ともいうべき2大ジャンルが一度に楽しめる、まさに一石二鳥な超大作,楽しむ
212,（特集へ）戦争という時代背景が生んだヒーロー第二次世界大戦にアメリカが参戦する8ヶ月前の1941年3月、アメリカ国旗を胸につけた若いヒーローがアドルフ・ヒトラーのあごにパンチを命中させるという強烈な表紙のコミックが登場する,つく
213,スーパーパワーを身につけたせいで、悲しみを紛らす方法まで失ってしまったのだ,つく
214,ウルトラマンなら目に入れても痛くないというくらいに愛情を持ったスタッフ達皆で話し合っていく中で、方向性を模索して結果的にこのような作品を創り上げられたことを嬉しく思います,創る
