,0,1,2
20,裸で絡み合う予告編公開永山絢斗と田畑智子がダブル主演する映画『ふがいない僕は空を見た』（11月17日公開）の予告編が公開され、心に抱える闇や寂しさを埋めるかのように情事にふける主人公たちの姿が明らかになった,ふく,n
21,僕もああいう風に子供にちゃんと言えたらなと思いました,言う,n
22,広島での完成披露に登壇できなかった主演の谷村美月からはビデオメッセージが寄せられ、「初めてのアクションで、初めてづくしの映画だったのですが、長野じゅりあちゃんとも支え合うことができて、すごく良い作品に仕上がりました」と共演者の長野を讃えた,できる,n
23,しかし、自由のない時代に様々な苦しみを抱えて生きるメイドたちこそ、声にできない自分たちの叫びを聞いてくれる誰かの“ヘルプ”を必要としていた,できる,n
24,"配給：松竹・『おかえり、はやぶさ』映画オフィシャルサイトDVD＆ブルーレイ『はやぶさ/HAYABUSA』3月7日発売3,990円（税込）発売元：20世紀フォックスホームエンターテインメントジャパン・映画「はやぶさ／HAYABUSA」公式サイト3.7（水）ブルーレイ＆DVDONSALE映画『はやぶさ遥かなる帰還』配給：東映・映画『はやぶさ遥かなる帰還』公式サイト■関連記事・インタビュー：藤原竜也＆杏「子供って本当にストレートなものを持っている」・藤原竜也、東北・石巻から熱烈歓迎・「はやぶさ」が“かなり飛び出る3D駅貼ポスター”、都内に登場・藤原竜也、中学生とともにロケット打ち上げに成功・藤原竜也、杏ら日本の俳優のスケールでは宇宙に行けない",行く,n
25,」と監督に照れながら笑顔で話す姿も,照る,n
26,また、車好きで国内のA級ライセンスを所持している三平は、カードを披露し、車が主役の本作のCMに出演できた喜びも語った,できる,n
27,意見が真っ二つに割れる映画『カーズ2』・Perfumeが『カーズ2』について、セクシー美脚をのばしながら女子トーク・Perfumeの“浴衣姿”にジローラモも釘付け,割る,n
28,本作の日本語吹き替え版を担当する中川翔子は「しゃべる度に魂が抜けていきます,抜く,n
29,その効果を存分に体感できそうな3Dアトラクション・ホラー映画『ファイナル・デッドブリッジ』が10月1日から公開される,できる,n
30,日本でもこれまでの映画にない世界観や設定で興味を喚起できたのか、公開初日から10から30代の若い世代の高い集客につながっている,できる,n
31,英語は的確に物事を伝える言語ですし、日本語は後ろにどんどん補足できる言語ですから、どう伝えていけばよいかすごく考えました,できる,n
32,でも、難しいことに出会えるのは勉強になりますので、良かったと思います,出会う,n
33,日常に生き甲斐を見出せない人や、人から見た自分の姿に不安を感じる人なども、ラリーやメルセデス、そして彼らを取り巻くクラスメート達の姿を通じて、人の数だけ異なる自分にとっての“幸せ”の形に気付かされ、明日が好きになるでしょう,見出す,n
34,タイトルだけを聞くと、ただのサーフ・ムービーに思えるが、それだけでは終わらせない本作の魅力がある,思う,n
35,後半、再びクゥにとんでもない試練が降りかかるのだが、その試練を必死に乗り越えようとする姿に勇気づけられることがあるだろう,勇気づく,n
36,後半、再びクゥにとんでもない試練が降りかかるのだが、その試練を必死に乗り越えようとする姿に勇気づけられることがあるだろう,らる,n
37,私の物語にふれてくれた人が、何かを感じてくれて、その人たちを励ますことができれば、とても嬉しいです」と語っており、奇跡を起こしたヒントがこの番組からも垣間見えるかもしれない,ふる,n
38,・応募に関する注意事項に同意いただける方,いただく,n
39,また、自身との共通点については「演じる前はどちらにも部分的に共感できる点があるように思えたのですが、演じてみると、ふたりとも私とは別人でしたね,できる,n
40,8000万円相当のネックレスをはじめとして総額1億円のアクセサリを身に着けて登場したローラ,着く,n
41,」・一番早く並んだ車いすの女性「2時間くらいかけて南カリフォルニアから来た」・ロバートのファンの女性「彼と一緒に写真を撮れたら私の人生が完結する」このコメントからもファンの熱狂ぶりがよくわかる,撮る,n
42,その間も両種族の戦いは続き、更には、その力を手にいれようと、人間もが戦いに参戦していた,いる,n
43,マーク：もともとジョージ・マイケルと言う名前は、脚本を書いた時点でとりあえず入れておくという感じだったのですが、ミュージシャンを選ぶ際には、“イーライが10代であったであろう1980年代に良く売れていて、今でも十分に名前が認知されているような人を”と考えていました,売る,n
44,人間によるボクシングの時代が終わりを迎え、ロボット格闘技の世界を舞台に、夢に破れた元ボクサーの再起と、父子のかけがえのない絆を描いた感動大作『リアル・スティール』,破る,n
45,今週入ってきたニュースだが、今回はジャンル別にわけて紹介しよう,わく,n
46,家庭も仕事もうまくいっていることを疑わなかった父親につきつけられた、突然のがん宣告,つく,n
47,・応募に関する注意事項に同意いただける方,いただく,n
48,少しでも、フーバーの容貌に近づけるため、目の色や髪の色はもちろんのこと、年齢に応じて白髪のヘアピースを加え、富士額の毛を抜き、二重あごに見えるように首筋には特殊メイクを施した,近づく,n
49,劇場公開時においても、IMAXなどの設備を完備したシアターを除けば、光量が足りないために画面が薄暗く、鮮明さに難点を感じたのは否めませんでしたが、過去2作品で実証済みのように、2Dで観てもその映像のクオリティは存分に堪能できるハズです,できる,n
50,世界で最も美しい女性100人（「MAXIM」誌）と、世界で最もセクシーな女性100人（「FHM」誌）のいずれも第1位に選出された彼女の肉体美も存分に堪能でき、ワイシャツ一枚で主人公サムに馬乗りになるベッドシーンや、2千5百万円もするスーパーカーのメルセデス・ベンツ「SLSAMG」から颯爽と降り立つ姿など、釘付けとなります,できる,n
51,"また、「ALLFORONE,ONEFORALL」に絡め「闘魂三銃士にとっての“ALL”とは",絡む,n
52,日本に来れたことだけで嬉しいです,来る,n
53,サンプルチェックも撮影の時期と重なってしまったのですが、撮影現場でお時間を作って頂き、細部まで確認、修正を繰り返し、イメージに近づけて頂きました,近づく,n
54,台本を貰って読んでからも役に共感できるところもあり、こういうことを言われたら男の人ってうれしいんだろうなって思いながら演じました,できる,n
55,」古川小夏（アップアップガールズ（仮））「チアの映画だと聞いた時は私たちにできるのかと不安でした,できる,y
56,この作品は、そんなことを気付かせてくれるような、あたたかい気持ちになれる作品です,なる,n
57,西田や美山は思わず目に涙を浮かべる場面もあった,浮かぶ,n
58,大学生活、思いっきり楽しんで、いろんな良い経験を積んで、今までとはまた違った成長した仁美ちゃんに会えるのを楽しみにしています,会う,n
59,お父ちゃんに言えないこと、相談できないこと、いっぱい、いっぱいあったと思います,言う,n
60,・応募に関する注意事項に同意いただける方,いただく,n
61,"■ストーリー神々の力が弱まったことで、""冥界""に封じ込められた巨神(タイタン)・クロノスの覚醒が始まり、地上にも異変が起こり始めた",封じ込む,n
62,"■ストーリー神々の力が弱まったことで、""冥界""に封じ込められた巨神(タイタン)・クロノスの覚醒が始まり、地上にも異変が起こり始めた",らる,n
63,しかし、自由のない時代に様々な苦しみを抱えて生きるメイドたちこそ、声にできない自分たちの叫びを聞いてくれる誰かの“ヘルプ”を必要としていた,できる,n
64,それを基に仮説を立てます,立つ,n
65,あなたは、価値ある目的に忠実に取り組めているだろうか,取り組む,n
66,…期待しちゃダメだぁ…」めくるめくモテキと４人の美女に翻弄されながら、幸世は本当の恋愛（含むセックス）にたどりつけるのか,たどりつく,n
67,年老いたサッチャーがある決断を下すまでのたった2日間を軸にしつつ、栄光と失墜、鉄と涙の物語に心を震わせることが期待される,震わす,n
68,私の同世代でも親に感謝が言えなかったり、反抗しちゃう方も多いので、家族の大切さを伝えたいです,言う,n
69,楽園で出会う個性溢れる面々とのおかしな交流や、タイトルにもある“作戦”を遂行するべく奮闘する登場人物たちを描いたあやしいサバイバル・ムービーで、現代の日本でそれぞれに悩みを抱えた人間たちが力を合わせて頑張る姿にいつの間にか勇気づけられ、笑い、癒され、どこかホッコリと温かくなれる映画が誕生した,勇気づく,n
70,楽園で出会う個性溢れる面々とのおかしな交流や、タイトルにもある“作戦”を遂行するべく奮闘する登場人物たちを描いたあやしいサバイバル・ムービーで、現代の日本でそれぞれに悩みを抱えた人間たちが力を合わせて頑張る姿にいつの間にか勇気づけられ、笑い、癒され、どこかホッコリと温かくなれる映画が誕生した,らる,n
71,人類最大の謎“人類の起源”に正面から向き合ったこの究極の問題作の公開前に、これらの映像で謎の答えに思いを巡らせ、更なる発見が得られることだろう,巡らす,n
72,良いストーリーを見つけ、それを良い形で伝えるためにいかに心を砕けるか、それが私にとって一番のプレッシャーですね,砕く,n
73,・応募に関する注意事項に同意いただける方,いただく,n
74,ラッセル・クロウ演じる主人公が、無実の罪で逮捕された愛する妻を助けるために脱獄計画を立てるストーリーです,立つ,n
75,その監督の映画で、しかも感動的なストーリーと息を呑むような美しい映像で綴るこの素晴らしい映画に出演できて、本当に嬉しく思っている」と喜びを語った,できる,n
76,中でも、クリストファー・ノーラン監督、アン・ハサウェイ、ジョゼフ・ゴードン＝レヴィットの出席が決定しているジャパンプレミア（7月25日開催）に参加できるチャンスは見逃せない,できる,n
77,子供たちも狼の姿に変身できる“おおかみこども”で、楽しくも大変な子育てが始まります,できる,n
78,都会にある大学の校舎や大通りの看板、バイト先の風景、田舎の山、川、畑など、細部がリアルに描かれているからこそ、“おおかみおとこ”というファンタジーが、現実のものとして想像でき、その苦悩に共感できるのかも知れません,できる,n
79,これが面白い映画の一番良いところは、何かを見つけて、そこをどういう風にお客さんにアピールできるか,できる,n
80,果たして、本物の英雄になれるのだろうか,なる,n
81,意見が真っ二つに割れる映画『カーズ2』自分は直観派なので、この作品に賛成,割る, n
82,」という仕掛けに挑戦できる,できる,n
83,スピルバーグ作品に出演できて喜ばない人はいないと思います,できる,n
84,ダコタ・ゴヨ：東京に来て、いろんな場所や、素敵な人たちに会えて素晴らしかったです,会う,n
85,東京ディズニーランドやディズニーシーに行けたし、ランぺイジ・ジャクソンに会えました,行く,n
86,東京ディズニーランドやディズニーシーに行けたし、ランぺイジ・ジャクソンに会えました,会う,n
87,だけど、それでも素晴らしい作品にしたかったら、自分にできることはすべてやって素晴らしい番組を作っていくものなんだよね,できる,y
88,彼はモジーを、まるで彼もロック・スターであるかのように扱ってくれるし、そのおかげでモジーも最高の気分になれる,なる,n
89,つまり、開始した時には、絶対に視聴者が獲得できることが分かっている,できる,n
90,ユージに「俺がいるからキャプテン・アメリカになれたんだろ」と詰め寄る,なる,n
91,・コスプレ写真「ナース」「ビールガール」「江戸時代風猫娘」本作は小池徹平、生瀬勝久のダブル主演の映画で、篠田は、昼は新城（小池）、中西（生瀬）らが勤務するビール会社の受付嬢、そして夜は“転職バー”で秘密のアルバイトをするOL・マオという役柄で映画に華を添えている,添う,n
92,“決して開けてはならない”特典グッズ付前売り券、“絶対に開けてはいけない”謎のコインロッカーなど謎に包まれたプロモーション施策を実施中の本作が、新たに“衝撃度120%”のビッグ・プロモーション『プロメテウス』ミステリー・ステーションを行った,開く,n
93,母が広島出身なので、広島焼きは家でも食べる機会が多かったんですけど、広島にうどんとそばを選べるお店があって、「広島焼きに、うどんを入れるんだ,選ぶ,n
94,一方、ハエックは「こんなプロジェクトに参加できてとても感謝しているわ,できる,n
95,映画をたくさん観たいけど、1800円という料金が高いのでなかなか劇場に足を運べない,運ぶ,n
96,果たして、真の自由をその手に掴めるのだろうか,掴む,n
97,マリエ：耳にタコができるくらいみんなに聞かれるのですが、本当にゲイが多くて,できる,n
98,6月末には“決して開けてはならない”特典グッズ付前売り券が発売され話題を呼んだが、本日8月1日からは、名古屋市中区の金山総合駅コンコースにて、8月31日までの期間限定で、映画『プロメテウス』のテーマを立体的に表現する“絶対に開けてはいけない”謎のコインロッカーが登場した,開く,n
99,『僕みたいな子でもヒーローになれる』と子供に勇気を与えてくれます,なる,n
100,以前こちらの批評で取り上げた『ムカデ人間』は、“男女3人の口と肛門を繋げる”というえげつない行為が行われる映画ながら、実は万人に楽しめる爽やかな映画だった,楽しむ,y
101,ハーベイはかつて子供番組にも出演していた経歴を持つようだが、その事実がかなり問題に思えてしまうほど、強烈な風貌である,思う,n
102,この文章を読んだあなたに言えることは一つだけ,言う,n
103,※遅刻された場合は、イベントに参加できない可能性がございます,できる,n
104,・応募に関する注意事項に同意いただける方,いただく,n
105,私は、毎日自分自身エリザベスのような人間になれるようにと努力しているし、彼女は本当に素晴らしい女性だし、本当に頭が良いし、機知に富んでいるし、情熱があるし、仕事を全力でやっていくタイプでありながらも、自分にとっては、家族や夫やそれから犬のサッチモですらが、優先順位の第一であるということを決して忘れていない女性なの,なる,n
106,それはエリザベスに限らず、すべてのキャラクターに言えることだと思うけど、例えばキャラクターの過去がより明らかになっていって視聴者がその人物が一体どんな人間なのかがより分かっていっていると思うの,言う,n
107,だから、私の成功は本当に彼らのおかげだし、それにそのおかげで私が、良い母親であり、仕事している時も子供と一緒に過ごせて、さらに、仕事に集中力を持って打ち込める環境を作り安くしてくれているから,過ごす,n
108,そういう風に実際スタジオの外で撮影できる時は、すごく楽しいの,できる,n
109,ティファニー・ティーセン：彼が仕事を持ち込めるのは、ふたりが信頼し合っているからこそで、ふたりともが家に仕事を持ち込めて、お互いの仕事について話し合える関係性というのは、私はむしろ素晴らしいことだと思うの,持ち込む,n
110,半分ニューヨークに住めて、半分LAに住めるからね,住む,n
111,半分ニューヨークに住めて、半分LAに住めるからね,住む,n
112,・『G.I.ジョー』が3D化のために公開延期が決定・イ・ビョンホンら『G.I.ジョー』キャストに会えるチャンス,会う,n
113,それが私たちにできることだと思いました,できる,y
114,たとえ自分とは無関係だったとしても同郷の有名人に親近感を覚えるように、スクリーンの中に映る自分の故郷を目にした時、人はその土地だけでなく、そこに関わりをもった自分自身をも誇りに思えるのではないでしょうか,思う,n
115,・応募に関する注意事項に同意いただける方,いただく,n
116,ポイント3：並ばずに楽しめる絶叫アトラクション前作を上回る洗練された3D映像で、アトラクションのように映画の世界を楽しむことが出来ます,楽しむ,n
117,——ラッセル・クロウ演じる主人公に共感できる部分はありましたか,できる,n
118,鼠先輩：すべてに共感できますね,できる,n
119,・応募に関する注意事項に同意いただける方,いただく,n
120,その敵に立ち向かえるのは、自分が誰かさえも分からない記憶を失った1人のカウボーイだった,立ち向かう,n
121,フラガールたちのダンスや飛行船の登場などがそこに華を添えた,添う,n
122,——元カレへの思いを引きずりながら、魅力的な2人の男性に惹かれていくローレンですが、彼女の気持ちに共感できるところはありますか,できる,n
123,なかなか“言うは易し”で、それは出来ないかもしれませんが、心優しい善人であれば、いずれはいい人に巡り会えると思っています,巡り会う,n
124,しかし、自由のない時代に様々な苦しみを抱えて生きるメイドたちこそ、声にできない自分たちの叫びを聞いてくれる誰かの“ヘルプ”を必要としていた,できる,n
125,しかし、自由のない時代に様々な苦しみを抱えて生きるメイドたちこそ、声にできない自分たちの叫びを聞いてくれる誰かの“ヘルプ”を必要としていた,できる,n
126,きっと今までにないエンターテイメントをご披露できるのではないかと思いますので、ご期待ください,できる,n
127,●アリと恋文文香（浜辺美波）が書いたラブレターを相手に渡すと、両想いになれるという伝説を聞いた意外な依頼者が現れる,なる,n
128,ユニバーサル映画100周年記念作品の『バトルシップ』、大ヒットアクション大作の続編『タイタンの逆襲』、男女共に楽しめるデートムービー『Black＆White／ブラック＆ホワイト』など強力なラインナップが公開中,楽しむ,y
129,・応募に関する注意事項に同意いただける方,いただく,n
130,主役はウルトラマンたちなのでその一員になれて本当に楽しかったです,なる,n
131,（笑）5歳の七夕で短冊に「ウルトラマンタロウになりたい」と書いて15年後に叶い、今回もまたコスモスに戻れて、しかもムサシは結婚して子どもまでいてビックリ,戻る,n
132,・キャラクタービジュアル一覧MOVIEENTERでは、来日するジョニデとバートン監督に会える、ジャパンプレミアのレッドカーペットに招待するプレゼントを掲載しているが、もう1つ、彼らに会える方法がある,会う,n
133,・キャラクタービジュアル一覧MOVIEENTERでは、来日するジョニデとバートン監督に会える、ジャパンプレミアのレッドカーペットに招待するプレゼントを掲載しているが、もう1つ、彼らに会える方法がある,会う,n
134,野村萬斎というどこにもいない、独自で、とっても魅力的な演技をする俳優を世界中の人に発見して欲しいと思っていたので、海外の映画祭に参加できる事はとても嬉しいです,できる,n
135,胃がんを患い、満身創痍の彼に話を聞けるのは、今が最後のチャンスかもしれないと思ったという,聞く,n
136,「今日は初日舞台挨拶に参加できず、非常に残念です,できる,n
137,キャストのみなさんに出会えたことが宝物です,出会う,n
138,・応募に関する注意事項に同意いただける方,いただく,n
139,これだけのスターが揃うと撮影も苦労したかと思うが、監督は「一番苦労したのは、キャスト同士が打ち解けすぎたせいで、カットがかかっても延々と喋り続けて次のシーンに移れなかったこと,移る,n
140,彼は、その何者にも負けない“強い心”が認められ、自ら政府の実験“スーパーソルジャー計画”に志願し超人的な身体能力を身に着ける,着く,n
141,常人よりもひ弱だった人がスーパーヒーローに変身するという設定は、誰もがヒーローになれるという希望を皆に与えてくれるのではないだろうか,なる,n
142,絶対絶命に陥れる宿敵たちスパイダーマン：グリーンゴブリン,陥る,n
143,「俺のスターアルバムinspiredby荒川アンダーザブリッジTHEMOVIE」収録曲01.涙のスターダスト・トレイン(SweetMix)／ザ50回転ズ02.STARs／木村カエラ03.惑星／ASIANKUNG-FUGENERATION04.土星にやさしく／ザ・クロマニヨンズ05.一等星になれなかった君へ／チャットモンチー06.STAR／フジファブリック07.星のブルース／吉井和哉08.星に願いを／9mmParabellumBullet09.SHOOTINGSTAR／BEATCRUSADERS10.PLAYTHESTARGUITAR／ストレイテナー11.流星オールナイト(albumedit)／キャプテンストライダム12.星のラブレター／THEBOOM13.スターな男／UNICORN2012年2月1日発売／2500円（税込）／AICL2338「荒川アンダーザブリッジ」ストーリー大企業の御曹司・市ノ宮行（林遣都）は、最も恐れている父親・積（上川隆也）から荒川地区再開発の妨げとなる不法占拠者の一斉退去を命じられる,なる,n
144,」と本作の構成の良さを絶賛するとともに、「家族を愛し、明るい家庭を作って、議員になれたという女の強さ・優しさを見ていただきたいです,なる,n
145,映画の感動のラストに添えるにふさわしい主題歌になることは、間違いないだろう,添う,n
146,一体僕に何が言えると思う,言う,y
147,阿部さんは、すごく陽さんになりきっていたので、周りの私たちもそれに近付けたらな、と思っていました,近付く,n
148,司会より、本作の主人公、ヒロインに抜擢された心境を聞かれると、テイラーは「自分がディズニーファミリーの一員になれるとは夢にも思いませんでした,なる,n
149,史子は、引越し先の環境に馴染めず、自分のことで精一杯で家族の変化になかなか気付くことができません,馴染む,n
150,本作は、無実の罪で逮捕された妻を助けるために脱獄計画を立てるストーリー,立つ,n
151,・応募に関する注意事項に同意いただける方,いただく,n
152,同試写会は、仕事や子育てで忙しくなかなか映画に行けないという人のために、「ほぼ日」が用意した夜10時からのインターネット試写会,行く,n
153,通常、インターネット試写会では人数が限定されるが、「友達と一緒に楽しめるように」をコンセプトに、2000人の「ほぼ日」読者だけでなく、離れた場所にいる一緒に映画を見たい親しい友人（家族）も参加可能となる,楽しむ,n
154,震災直後は自粛ムードが漂い、被災地訪問に対して内心は不安だったメンバー達でしたが、ミニライブで一緒になって歌詞を口ずさむ子供たちの笑顔や、握手会で掛けられる温かい言葉が、応援しにきたはずのメンバーにも逆に勇気づける結果となり、後のインタビューで大島優子は「こんなにも歌で人を笑顔にできると初めて感じた」と語っています,勇気づく,n
155,震災直後は自粛ムードが漂い、被災地訪問に対して内心は不安だったメンバー達でしたが、ミニライブで一緒になって歌詞を口ずさむ子供たちの笑顔や、握手会で掛けられる温かい言葉が、応援しにきたはずのメンバーにも逆に勇気づける結果となり、後のインタビューで大島優子は「こんなにも歌で人を笑顔にできると初めて感じた」と語っています,できる,n
156,「しゃべる度に魂が抜けていきます,抜く,n
157,桐谷：撮影が終わると、自然と素の自分に戻れるので、意識してオンとオフを使い分けている感じは無いです,戻る,n
158,桐谷：私自身、この映画に出会えたことが本当に楽しくて、驚くほどはやく撮影が終わってしまいました,出会う,n
159,みんなに出会えたこと、みんなと一緒に過ごせた時間に「ありがとう」としか言えません,出会う,n
160,みんなに出会えたこと、みんなと一緒に過ごせた時間に「ありがとう」としか言えません,過ごす,n
161,・『ダーク・シャドウ』で来日するジョニー・デップに会える,会う,n
162,女性の方は、自分自身に執着するというところに共感できると思うので、改めて、女性であることを乱用していただけたらと思います,できる,n
163,果たして彼らは本作を機に再び第一線に返り咲けるのか,返り咲く,n
164,監督は、この映画のために素晴らしいキャストを揃えたね,揃う,n
165,ヒュー・ジャックマン演じる主人公のマックスと同じく息子を持つ父親であり、本作に涙したという宮迫は、映画の感想について「色んな泣ける映画がありますが、悲しい涙じゃなくて、一歩前に進めて得する涙を流せる映画でした,進む,n
166,そういう文系で、オリンピックに乗れない人は、もうギンギンにエアコンで冷やして、全くオリンピックを観ないで自分の“キャッスル”に入って、自分の城で永遠に観続けるのもオススメできますね,乗る,n
167,オリジナルということは、いかに早く観客にこの作品の内容を理解してもらって、物語の展開に持ち込めるかが重要なので、そういった意味ではクリエイターとして大変なわけです,持ち込む,n
168,監督：本当に日本が好きだから、今回日本に行けなくて申し訳なく思っています,行く,n
169,鈴木福くんの好感度に少しでも便乗できたら幸いです,できる,n
170,あなたも“恐怖のグレイヴ顔”になれる,なる,n
171,これから先も、あの時に感じたことをずっと忘れずにいれる人間になりたいです,いる,n
172,アイドルとして、ひとりの人間として、今、自分たちにできること…,できる,y
173,しかし、ヴィジョンが終了すると、イーライは、会社のテーブルの下に身を潜めていて、会議に参加している同僚から冷ややかな目で見られています,潜む,n
174,かつては『家族ゲーム』などで松田優作にも行ったであろう名監督の演出の様子は、映画ファンならば目に焼き付けておくべき映像だ,焼き付く,n
175,黒い下着を身に着けてポールダンス、男たちをあおりながら大胆開脚である,着く,n
176,更にスカーレット・ヨハンソンとの夢の初競演を果し、“日米最強女優”がワールド・プレミアに華を添えた,添う,n
177,凄く雰囲気が良くって、みんながフレンドリーだったので全然緊張せずに楽しめました,楽しむ,n
178,憧れのアンドリュー・スタントン監督に会えた事も夢のようです,会う,n
179,憧れのアンドリュー・スタントン監督に会えた事も夢のようでしたので、全米・日本が公開してからじゃないとなかなか実感が沸かないと思います,会う,n
180,第1部初回盤A・初回盤B・通常盤の3タイトルのCDそれぞれに「第1部」に参加できる抽選券がもれなく封入されており、携帯電話からの簡単な登録で抽選に参加可能,できる,n
181,初回盤A・初回盤B・通常盤の3タイトルをセットにしたこの商品にデビュー・スペシャルイベント「第2部」に参加できる入場券を封入,できる,n
182,意見が真っ二つに割れる映画『カーズ2』・映画『ベルセルク』ポスター＆予告編が解禁、ED曲はAIが担当・“FBI行動分析課”に学べ,割る,n
183,上半期を通じてグロ系への耐性やカーアクションに自分の好みを感じつつ、2Dと3D共に映像の迫力を堪能できる作品が強く印象に残った下半期でした,できる,n
184,かっこいいロボットが登場するアクション映画としての醍醐味もさることながら、父親と息子…そこにベイリーを絡めた人間関係が、感情豊かに描かれているハートのこもった感動的なお話しで、とても素晴らしい映画だよ,絡む,n
185,技術のすごさや二つの展望台からの絶景など、誰もが知りたかったスカイツリーの“ひみつ”を迫力の大スクリーンで存分に楽しめる作品となっている,楽しむ,n
186,現地になかなかなじめないマリオだったが、二人は親交を温める,なじむ,n
187,一方、タエは元の時代に帰れる方法を見つけ、希望を見出していた,帰る,n
188,人々を恐怖に震え上がらせる悪の化身から、愛情すら抱いてしまう悲劇の美声年まで、様々なイメージで描かれているが、果たしてヴァンパイアが現代に存在したのなら、“生と死を超えた者”である彼らに対して、あなたは本気で十字架やニンニクを手に対抗できると思うだろうか,できる,n
189,あなたも“恐怖のグレイヴ顔”になれる,なる,n
190,このアプリで写真を撮ると、映画に出てくる少女の恐怖顔に誰でもなれるというものだ,なる,n
191,目と口にポイントをセットして変換すると恐怖顔になれる,なる,n
192,果たして、本物の木を手に入れ、世界を緑いっぱいに戻せるのだろうか,戻す,n
193,20世紀の技術でさえ、これほど大変なのに、果たして紀元前に20年間で建設できたのであろうか,できる,n
194,目下、話題沸騰の『THEEVENT／イベント』は、そんな海外ドラマの王道ともいうべき2大ジャンルが一度に楽しめる、まさに一石二鳥な超大作,楽しむ,n
195,ウルトラマンなら目に入れても痛くないというくらいに愛情を持ったスタッフ達皆で話し合っていく中で、方向性を模索して結果的にこのような作品を創り上げられたことを嬉しく思います,創る,n
196,変形型の戦闘機が登場するのは人間もウルトラマンと敵との戦いの中に参加できるということを表現したかったので、身近なものが変形するような設定にしました,できる,n
197,DAIGO：今日はたくさんの方に作品をご覧いただけて、「本当に気分はファンタスティック」です,いただく,n
198,『恋の罪』の公開記念で『冷たい熱帯魚』が1週間上映されるということだけど、本当にたくさんの人にご覧いただけて嬉しいです,いただく,n
199,海外ドラマをただ見るのではなく、物語の中に潜むビジネスの知恵を見つけて仕事に役立てようというもの,役立つ,n
200,東京国際映画祭で、日本に行けるのをとても楽しみにしているわ,行く,n
201,ヘンリーは、短期間にできる限りのことを学生たちに授けながら、彼らの人生の局面に関わっていく,できる,n
202,僕らもそんなように息の長いアーティストになれるように頑張りたいと思います,なる,n
203,劇場版『名探偵コナン』に寄り添える楽曲として皆さんに楽しんでいただけたならとても嬉しいです,寄り添う,n
204,これらの情報発信や、コミュニケーションを効果的に行うことで、ユーザーの映画への期待感を高め、集客に繋げる試みとなっている,繋ぐ,n
205,宇宙のことをあまり知らなかったのに、よく、この作品に出演できたなと思います（笑）——「宇宙の知識に疎い」ということは、この映画で役を演じるために、かなり勉強されたのではないでしょうか,できる,n
206,果たして彼はバルスームの救世主になれるのか,なる,n
207,『Mr.&Mrs.スミス』『ナイト&デイ』に続く、男女共に楽しめるデートムービーの決定版ではないだろうか,楽しむ,y
208,さらに極めつけは、電動ドリルで額に穴を開ける、など筆舌に尽くしがたい恐ろしい拷問が行われる,開く,n
209,むしろ、“次はどんな拷問が行われるのか”というドキドキ感はつり橋効果をもたらすので、ギリギリデートに使えます,使う,n
210,冒頭でストーリーに惹き込まれるように世界に入り込めて、あっという間の2時間15分を夢の中にいさせて頂いたなと感じましたね,入り込む,n
